plate,rTL,sex,date,Habitat,NID,Age (day),Age (year),SOSP brood size,total brood size,year,site,nest.para.fig,nest.para,para.comp,bhco.hab
1,0.57,male,7/19/22,Rural,NA,NA,ASY,NA,NA,2022,heritage,no,NA,NA,NA
2,0.59,male,3/31/19,Rural,NA,NA,ASY,NA,NA,2019,heritage,no,NA,NA,NA
5,0.83,male,3/31/19,Rural,NA,NA,ASY,NA,NA,2019,heritage,no,NA,NA,NA
2,0.99,male,3/31/19,Rural,NA,NA,ASY,NA,NA,2019,heritage,no,NA,NA,NA
4,0.66,female,7/19/22,Rural,NA,NA,ASY,NA,NA,2022,heritage,no,NA,NA,NA
5,0.39,male,4/7/19,Rural,NA,NA,ASY,NA,NA,2019,kentland,no,NA,NA,NA
6,0.65,male,4/7/19,Rural,NA,NA,ASY,NA,NA,2019,kentland,no,NA,NA,NA
2,0.52,male,4/7/19,Rural,NA,NA,ASY,NA,NA,2019,kentland,no,NA,NA,NA
1,0.62,male,4/7/19,Rural,NA,NA,ASY,NA,NA,2019,kentland,no,NA,NA,NA
4,0.6,male,5/17/19,Rural,NA,NA,ASY,NA,NA,2019,kentland,no,NA,NA,NA
4,0.73,male,4/1/19,Rural,NA,NA,ASY,NA,NA,2019,NA,no,NA,NA,NA
3,0.7,male,4/13/19,Rural,NA,NA,ASY,NA,NA,2019,stream,no,NA,NA,NA
1,0.36,male,4/13/19,Rural,NA,NA,ASY,dex,NA,2019,stream,no,NA,NA,NA
6,0.55,male,4/13/19,Rural,NA,NA,ASY,dex,NA,2019,stream,no,NA,NA,NA
7,0.89,male,2/27/19,Rural,NA,NA,ASY,NA,NA,2019,stream,no,NA,NA,NA
5,0.38,male,7/9/22,Rural,NA,NA,ASY,NA,NA,2022,stream,no,NA,NA,NA
4,0.83,male,3/25/19,Rural,NA,NA,ASY,NA,NA,2019,stream,no,NA,NA,NA
4,0.52,male,4/1/19,Rural,NA,NA,ASY,NA,NA,2019,stream,no,NA,NA,NA
4,1.03,male,4/1/19,Rural,NA,NA,ASY,NA,NA,2019,stream,no,NA,NA,NA
4,0.89,male,4/1/19,Rural,NA,NA,ASY,NA,NA,2019,stream,no,NA,NA,NA
4,0.73,male,4/1/19,Rural,NA,NA,ASY,NA,NA,2019,stream,no,NA,NA,NA
5,0.53,male,4/1/19,Rural,NA,NA,ASY,NA,NA,2019,stream,no,NA,NA,NA
2,0.84,female,6/26/19,Rural,NA,NA,ASY,NA,NA,2019,stream,no,NA,NA,NA
6,0.5,female,7/31/19,Rural,NA,NA,ASY,NA,NA,2019,stream,no,NA,NA,NA
2,0.72,female,6/5/22,Rural,NA,NA,ASY,NA,NA,2022,stream,no,NA,NA,NA
4,0.5,female,7/31/19,Rural,NA,NA,ASY,NA,NA,2019,stream,no,NA,NA,NA
6,0.54,female,7/31/19,Rural,NA,NA,ASY,NA,NA,2019,stream,no,NA,NA,NA
5,0.79,male,7/9/22,Rural,NA,NA,ASY,NA,NA,2022,stream,no,NA,NA,NA
1,0.8,male,7/8/22,Rural,NA,NA,ASY,NA,NA,2022,stream,no,NA,NA,NA
4,0.81,female,7/9/22,Rural,NA,NA,ASY,NA,NA,2022,stream,no,NA,NA,NA
4,0.93,male,7/9/22,Rural,NA,NA,ASY,NA,NA,2022,stream,no,NA,NA,NA
4,0.69,female,7/9/22,Rural,NA,NA,ASY,NA,NA,2022,stream,no,NA,NA,NA
4,0.79,male,7/9/22,Rural,NA,NA,ASY,NA,NA,2022,stream,no,NA,NA,NA
3,0.43,male,8/28/22,Rural,NA,NA,ASY,NA,NA,2022,stream,no,NA,NA,NA
5,0.49,female,7/9/22,Rural,NA,NA,ASY,NA,NA,2022,stream,no,NA,NA,NA
4,1.07,male,7/8/22,Rural,NA,NA,ASY,NA,NA,2022,stream,no,NA,NA,NA
1,0.88,female,7/8/22,Rural,NA,NA,ASY,NA,NA,2022,stream,no,NA,NA,NA
2,0.44,male,10/1/21,Urban,NA,NA,ASY,NA,NA,2021,north vt,no,NA,NA,NA
1,0.47,male,4/8/19,Urban,NA,NA,ASY,NA,NA,2019,north vt,no,NA,NA,NA
2,0.88,male,4/8/19,Urban,NA,NA,ASY,NA,NA,2019,north vt,no,NA,NA,NA
7,0.81,male,4/8/19,Urban,NA,NA,ASY,NA,NA,2019,north vt,no,NA,NA,NA
4,0.43,male,4/8/19,Urban,NA,NA,ASY,NA,NA,2019,north vt,no,NA,NA,NA
2,0.55,male,4/11/18,Urban,NA,NA,ASY,dex,NA,2019,north vt,no,NA,NA,NA
3,0.71,male,6/8/22,Urban,NA,NA,ASY,NA,NA,2022,north vt,no,NA,NA,NA
4,1.12,male,3/27/19,Urban,NA,NA,ASY,NA,NA,2019,north vt,no,NA,NA,NA
3,0.55,male,3/27/19,Urban,NA,NA,ASY,NA,NA,2019,north vt,no,NA,NA,NA
1,0.57,male,10/1/21,Urban,NA,NA,ASY,NA,NA,2021,north vt,no,NA,NA,NA
2,0.71,male,3/30/19,Urban,18IJV19,NA,ASY,NA,NA,2019,radford,no,NA,NA,NA
2,0.48,male,3/30/19,Urban,18IJV19,NA,ASY,NA,NA,2019,radford,no,NA,NA,NA
1,0.57,male,3/30/19,Urban,NA,NA,ASY,NA,NA,2019,radford,no,NA,NA,NA
